"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST012178",33574088,"Pancreatic ductal adenocarcinoma x smoking interaction","7,937  European ancestry cases, 11,774 European ancestry controls","smoking status measurement, pancreatic carcinoma",19711,"European"
"GCST012195",33527407,"Differentiated thyroid cancer","1,554 European ancestry cases, 1,973 European ancestry controls, 301 Oceanian ancestry cases, 348 Oceanian ancestry controls","differentiated thyroid carcinoma",647,"Oceanian"
"GCST012195",33527407,"Differentiated thyroid cancer","1,554 European ancestry cases, 1,973 European ancestry controls, 301 Oceanian ancestry cases, 348 Oceanian ancestry controls","differentiated thyroid carcinoma",3527,"European"
"GCST012196",33527407,"Differentiated thyroid cancer","301 Oceanian ancestry cases, 348 Oceanian ancestry controls","differentiated thyroid carcinoma",649,"Oceanian"
"GCST012197",33527407,"Differentiated thyroid cancer","1,554 European ancestry cases, 1,973 European ancestry controls","differentiated thyroid carcinoma",3527,"European"
"GCST012199",32889700,"Non-small cell lung cancer","27,120 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls","non-small cell lung carcinoma",26655,"East Asian"
"GCST012199",32889700,"Non-small cell lung cancer","27,120 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls","non-small cell lung carcinoma",27820,"European"
"GCST012200",32889700,"Squamous cell lung carcinoma","8,350 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls","squamous cell lung carcinoma",35705,"East Asian, European"
"GCST012201",32889700,"Lung adenocarcinoma","15,581 Chinese or European ancestry cases, 27,355 Chinese or European ancestry controls","lung adenocarcinoma",42936,"East Asian, European"
"GCST012202",33632709,"Distal/Left-sided colorectal cancer","30,588 European ancestry cases, 64,159 European ancestry controls","colorectal cancer",94747,"European"
"GCST012203",33632709,"Colon cancer","32,002 European ancestry cases, 64,159 European ancestry controls","colon carcinoma",961616,"European"
"GCST012204",33632709,"Rectal cancer","16,212 European ancestry cases, 64,159 European ancestry controls","rectum cancer",80371,"European"
"GCST012205",33632709,"Distal colorectal cancer","14,376 European ancestry cases, 64,159 European ancestry controls","colorectal cancer",78535,"European"
"GCST012206",33632709,"Proximal colorectal cancer","15,706 European ancestry cases, 64,159 European ancestry controls","colorectal cancer",79856,"European"
"GCST012213",33667223,"Aerodigestive squamous cell cancer (pleiotropy)","7,426 European ancestry lung squamous cell carcinoma cases, 5,452 European ancestry oral and oropharynx squamous cell carcinoma cases, 693 European ancestry laryngeal squamous cell carcinoma cases, 316 European ancestry esophageal squamous cell carcinoma cases, 61,961 European ancestry controls","upper aerodigestive tract neoplasm",75848,"European"
"GCST012234",27749845,"Oral cavity and pharyngeal cancer","2,342 European ancestry cases, 2,329 European ancestry controls","head and neck malignant neoplasia",4671,"European"
"GCST012235",27749845,"Oral cavity and pharyngeal cancer","2,497 European ancestry cases, 2,928 European ancestry controls","head and neck malignant neoplasia",5425,"European"
"GCST012236",27749845,"Oral cavity and pharyngeal cancer","613 Hispanic or Latin American ancestry cases, 727 Hispanic or Latin American ancestry controls","head and neck malignant neoplasia",1340,"Hispanic or Latin American"
"GCST012237",27749845,"Oral cavity cancer","1,223 European ancestry cases, 2,928 European ancestry controls","oral cavity cancer",4151,"European"
"GCST012238",27749845,"Oral cavity cancer","1,135 European ancestry cases, 2,329 European ancestry controls","oral cavity cancer",3464,"European"
"GCST012239",27749845,"Oral cavity cancer","340 Hispanic or Latin American ancestry cases, 727 Hispanic or Latin American ancestry controls","oral cavity cancer",1067,"Hispanic or Latin American"
"GCST012240",27749845,"Oropharynx cancer","205 Hispanic or Latin American ancestry cases, 727 Hispanic or Latin American ancestry controls","oropharynx cancer",932,"Hispanic or Latin American"
"GCST012241",27749845,"Oropharynx cancer","1,090 European ancestry cases, 2,928 European ancestry controls","oropharynx cancer",4018,"European"
"GCST012242",27749845,"Oropharynx cancer","1,119 European ancestry cases, 2,329 European ancestry controls","oropharynx cancer",3448,"European"
"GCST012281",34018994,"Breast cancer","1,496 Han Chinese ancestry cases, 1,257 Han Chinese ancestry controls","breast carcinoma",2753,"East Asian"
"GCST012286",33736632,"Hepatitis B virus-related hepatocellular carcinoma vs hepatitis B virus-related decompensated cirrhosis","214 Chinese ancestry hepatocellular carcinoma cases, 188 Chinese ancestry decompensated cirrhosis controls","hepatitis virus-related hepatocellular carcinoma",402,"East Asian"
"GCST012287",33736632,"Hepatitis B virus-related hepatocellular carcinoma vs chronic hepatitis B infection","214 Chinese ancestry hepatocellular carcinoma cases, 93 Chinese ancestry chronic hepatitis B controls","hepatitis virus-related hepatocellular carcinoma",307,"East Asian"
"GCST012335",34216518,"Hodgkin's lymphoma","56 Greater Middle Eastern ancestry cases,  5 unknown ancestry cases, 36 Greater Middle Eastern ancestry controls","Hodgkins lymphoma",5,"NR"
"GCST012335",34216518,"Hodgkin's lymphoma","56 Greater Middle Eastern ancestry cases,  5 unknown ancestry cases, 36 Greater Middle Eastern ancestry controls","Hodgkins lymphoma",92,"Greater Middle Eastern (Middle Eastern, North African or Persian)"
"GCST012357",33891562,"Acute lymphoblastic leukemia","466 Chinese ancestry cases, 1,466 Chinese ancestry controls","acute lymphoblastic leukemia",1932,"East Asian"
"GCST012358",33891562,"Acute lymphoblastic leukemia (adult vs childhood)","85 Chinese ancestry adult cases, 381 Chinese ancestry childhood cases","acute lymphoblastic leukemia",466,"East Asian"
"GCST012359",33891562,"Acute lymphoblastic leukemia (adult)","85 Chinese ancestry cases, 1,466 Chinese ancestry controls","acute lymphoblastic leukemia",1551,"East Asian"
"GCST012360",33891562,"Acute lymphoblastic leukemia (childhood)","381 Chinese ancestry cases, 1,466 Chinese ancestry controls","childhood acute lymphoblastic leukemia",1847,"East Asian"
"GCST012396",33875642,"Multiple myeloma","4,376 European ancestry cases, 345,887 European ancestry controls","multiple myeloma",350263,"European"
"GCST012397",33875642,"Multiple myeloma or monoclonal gammopathy of undetermined significance","4,376 European ancestry multiple myeloma cases, 944 European ancestry monoclonal gammopathy of undetermined significance cases, 422,293 European ancestry controls","multiple myeloma, monoclonal gammopathy",427613,"European"
"GCST012421",33976257,"Colorectal cancer","89 Indonesian cases, 84 Indonesian controls","colorectal cancer",173,"South East Asian"
"GCST012467",34162658,"Overall survival in serous epithelial ovarian cancer","4,391 European ancestry individuals","overall survival, ovarian serous carcinoma",4391,"European"
"GCST012468",34162658,"Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin","1,901 European ancestry individuals","response to carboplatin, overall survival, ovarian serous carcinoma, response to paclitaxel",1901,"European"
"GCST012469",34162658,"Overall survival in epithelial ovarian cancer","6,160 European ancestry individuals","overall survival, ovarian carcinoma",6160,"European"
"GCST012470",34162658,"Overall survival in epithelial ovarian cancer treated with carboplatin and paclitaxel","2,620 European ancestry individuals","response to carboplatin, overall survival, ovarian carcinoma, response to paclitaxel",2620,"European"
"GCST012471",34162658,"Progression free survival in serous epithelial ovarian cancer","4,037 European ancestry individuals","progression free survival, ovarian serous carcinoma",4037,"European"
"GCST012472",34162658,"Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel","1,751 European ancestry individuals","progression free survival, response to carboplatin, ovarian serous carcinoma, response to paclitaxel",1751,"European"
"GCST012473",34162658,"Progression free survival in epithelial ovarian cancer","5,596 European ancestry individuals","progression free survival, ovarian carcinoma",5596,"European"
"GCST012474",34162658,"Progression free survival in epithelial ovarian cancer treated with carboplatin and paclitaxel","2,352 European ancestry individuals","progression free survival, response to carboplatin, ovarian carcinoma, response to paclitaxel",2352,"European"
"GCST012475",33794208,"Cervical intraepithelial neoplasia grade 3 and invasive cervical cancer","764 European ancestry invasive cervical cancer cases, 4,005 European ancestry cervical intraepithelial neoplasia grade 3 cases, 145,545 European ancestry controls","cervical carcinoma, Cervical Intraepithelial Neoplasia Grade 2/3",150314,"European"
"GCST012476",33794208,"Cervical intraepithelial neoplasia grade 3","4,005 European ancestry cases, 145,545 European ancestry controls","Cervical Intraepithelial Neoplasia Grade 2/3",149550,"European"
"GCST012477",33794208,"Invasive cervical cancer","764 European ancestry cases, 145,545 European ancestry controls","cervical carcinoma",146309,"European"
"GCST012776",35157032,"Cervical cancer","363 German ancestry cases, 861 German ancestry controls","cervical cancer",1224,"European"
"GCST012876",30510241,"Colorectal cancer","11,895 European ancestry cases, 14,659 European ancestry controls","colorectal cancer",26554,"European"
"GCST012877",30510241,"Colorectal cancer","11,835 European ancestry cases, 11,856 European ancestry controls","colorectal cancer",23691,"European"
"GCST012878",30510241,"Colorectal cancer","1,460 European ancestry cases, 774 European ancestry controls","colorectal cancer",2234,"European"
"GCST012879",30510241,"Colorectal cancer","19,948 European ancestry cases, 12,124 European ancestry controls","colorectal cancer",32072,"European"
"GCST012880",30510241,"Colorectal cancer","4,439 European ancestry cases, 4,115 European ancestry controls","colorectal cancer",8554,"European"
"GCST90000032",33057200,"Myeloproliferative neoplasms","1,086 British ancestry cases, 407,155 British ancestry controls, 640 Finnish ancestry cases, 176,259 Finnish ancestry controls","myeloproliferative disorder",176899,"European"
"GCST90000032",33057200,"Myeloproliferative neoplasms","1,086 British ancestry cases, 407,155 British ancestry controls, 640 Finnish ancestry cases, 176,259 Finnish ancestry controls","myeloproliferative disorder",408241,"European"
"GCST90002423",32986714,"Prostate cancer","2,463 African American or Afro-Caribbean cases, 2,306 African American or Afro-Caribbean controls","prostate carcinoma",4769,"African American or Afro-Caribbean"
"GCST90002424",32986714,"Prostate cancer","1,106 Japanese American cases, 1,093 Japanese American controls","prostate carcinoma",2199,"East Asian"
"GCST90002425",32986714,"Prostate cancer","1,081 Hispanic or Latin American cases, 1,066 Hispanic or Latin American controls","prostate carcinoma",2147,"Hispanic or Latin American"
"GCST90011804",32887889,"Breast cancer","17,881 European ancestry cases, 410,350 European ancestry controls","breast carcinoma",428231,"European"
"GCST90011805",32887889,"Testicular cancer","713 European ancestry cases, 359,825 European ancestry controls","testicular carcinoma",360538,"European"
"GCST90011806",32887889,"Oral cavity and pharyngeal cancer","1,223 European ancestry cases, 410,350 European ancestry controls","oropharynx cancer",411573,"European"
"GCST90011807",32887889,"Esophageal or stomach cancer","1,091 European ancestry cases, 410,350 European ancestry controls","esophageal carcinoma, gastric carcinoma",411441,"European"
"GCST90011808",32887889,"Prostate cancer","10,792 European ancestry cases, 410,350 European ancestry controls","prostate carcinoma",421142,"European"
"GCST90011809",32887889,"Melanoma","6,777 European ancestry cases, 410,350 European ancestry controls","melanoma",417127,"European"
"GCST90011810",32887889,"Rectal cancer","2,091 European ancestry cases, 410,350 European ancestry controls","rectum cancer",412441,"European"
"GCST90011811",32887889,"Colon cancer","3,793 European ancestry cases, 410,350 European ancestry controls","colon carcinoma",414143,"European"
"GCST90011812",32887889,"Lung cancer","2,485 European ancestry cases, 410,350 European ancestry controls","lung carcinoma",412835,"European"
"GCST90011813",32887889,"Thyroid cancer","762 European ancestry cases, 410,350 European ancestry controls","thyroid carcinoma",411112,"European"
"GCST90011814",32887889,"Lymphocytic leukemia","852 European ancestry cases, 410,350 European ancestry controls","lymphoid leukemia",411202,"European"
"GCST90011815",32887889,"Pancreatic cancer","663 European ancestry cases, 410,350 European ancestry controls","pancreatic carcinoma",411013,"European"
"GCST90011816",32887889,"Cervical cancer","6,563 European ancestry cases, 410,350 European ancestry controls","cervical carcinoma",416913,"European"
"GCST90011817",32887889,"Bladder cancer","2,242 European ancestry cases, 410,350 European ancestry controls","urinary bladder carcinoma",412592,"European"
"GCST90011818",32887889,"Kidney cancer","1,338 European ancestry cases, 410,350 European ancestry controls","kidney cancer",411688,"European"
"GCST90011819",32887889,"Non-Hodgkin's lymphoma","2,400 European ancestry cases, 410,350 European ancestry controls","non-Hodgkins lymphoma",412750,"European"
"GCST90011820",32887889,"Endometrial cancer","2,037 European ancestry cases, 410,350 European ancestry controls","endometrial carcinoma",412387,"European"
"GCST90011821",32887889,"Ovarian cancer","1,259 European ancestry cases, 410,350 European ancestry controls","ovarian carcinoma",411609,"European"
"GCST90011822",32887889,"Cancer (pleiotropy)","64,962 European ancestry cases, 410,350 European ancestry controls","cancer",475312,"European"
"GCST90011823",32887889,"Cancer (pleiotropy)(bidirectional)","64,962 European ancestry cases, 410,350 European ancestry controls","cancer",475312,"European"
"GCST90012177",32915819,"Cancer","2,821 German ancestry individuals","cancer",2821,"European"
"GCST90013410",33549134,"Basal cell carcinoma","17,416 European ancestry cases, 375,455 European ancestry controls","basal cell carcinoma",392871,"European"
"GCST90013662",34315874,"Extrahepatic cholangiocarcinoma","148 British ancestry cases, 408,035 British ancestry controls","extrahepatic bile duct carcinoma",408183,"European"
"GCST90013694",32514122,"Biliary tract cancer","339 Japanese ancestry cases, 195,745 Japanese ancestry controls","biliary tract cancer",196084,"East Asian"
"GCST90013695",32514122,"Breast cancer","5,552 Japanese ancestry cases, 89,731 Japanese ancestry controls","breast carcinoma",95283,"East Asian"
"GCST90013696",32514122,"Cervical cancer","605 Japanese ancestry cases, 89,731 Japanese ancestry controls","cervical carcinoma",90336,"East Asian"
"GCST90013697",32514122,"Colorectal cancer","7,062 Japanese ancestry cases, 195,745 Japanese ancestry controls","colorectal cancer",202807,"East Asian"
"GCST90013698",32514122,"Endometrial cancer","999 Japanese ancestry cases, 89,731 Japanese ancestry controls","endometrial carcinoma",90730,"East Asian"
"GCST90013699",32514122,"Esophageal cancer","1,300 Japanese ancestry cases, 195,745 Japanese ancestry controls","esophageal carcinoma",197045,"East Asian"
"GCST90013700",32514122,"Gastric cancer","6,563 Japanese ancestry cases, 195,745 Japanese ancestry controls","gastric carcinoma",202308,"East Asian"
"GCST90013701",32514122,"Hematological malignancy","1,236 Japanese ancestry cases, 211,217 Japanese ancestry controls","hematopoietic and lymphoid system neoplasm",212453,"East Asian"
"GCST90013702",32514122,"Hepatocellular carcinoma","1,866 Japanese ancestry cases, 195,745 Japanese ancestry controls","hepatocellular carcinoma",197611,"East Asian"
"GCST90013703",32514122,"Lung cancer","4,050 Japanese ancestry cases, 208,403 Japanese ancestry controls","lung carcinoma",212453,"East Asian"
"GCST90013704",32514122,"Ovarian cancer","720 Japanese ancestry cases, 89,731 Japanese ancestry controls","ovarian carcinoma",90451,"East Asian"
"GCST90013705",32514122,"Pancreatic cancer","442 Japanese ancestry cases, 195,745 Japanese ancestry controls","pancreatic carcinoma",196187,"East Asian"
"GCST90013706",32514122,"Prostate cancer","5,408 Japanese ancestry cases, 103,939 Japanese ancestry controls","prostate carcinoma",109347,"East Asian"
"GCST90013710",32514122,"Cirrhosis","2,184 Japanese ancestry cases, 210,269 Japanese ancestry controls","cirrhosis of liver",212453,"East Asian"
"GCST90013720",32514122,"Uterine fibroids","5,954 Japanese ancestry cases, 95,010 Japanese ancestry controls","uterine fibroid",100964,"East Asian"
"GCST90013736",32514122,"Biliary tract cancer","211 Japanese ancestry male cases, 97,655 Japanese ancestry male controls","biliary tract cancer",97866,"East Asian"
"GCST90013737",32514122,"Colorectal cancer","4,496 Japanese ancestry male cases, 97,655 Japanese ancestry male controls","colorectal cancer",102151,"East Asian"
"GCST90013738",32514122,"Esophageal cancer","1,132 Japanese ancestry male cases, 97,655 Japanese ancestry male controls","esophageal carcinoma",98787,"East Asian"
"GCST90013739",32514122,"Gastric cancer","4,885 Japanese ancestry male cases, 97,655 Japanese ancestry male controls","gastric carcinoma",102540,"East Asian"
"GCST90013740",32514122,"Hematological malignancy","701 Japanese ancestry male cases, 108,646 Japanese ancestry male controls","hematopoietic and lymphoid system neoplasm",109347,"East Asian"
"GCST90013741",32514122,"Hepatocellular carcinoma","1,384 Japanese ancestry male cases, 97,655 Japanese ancestry male controls","hepatocellular carcinoma",99039,"East Asian"
"GCST90013742",32514122,"Lung cancer","2,710 Japanese ancestry male cases, 106,637 Japanese ancestry male controls","lung carcinoma",109347,"East Asian"
"GCST90013743",32514122,"Pancreatic cancer","288 Japanese ancestry male cases, 97,655 Japanese ancestry male controls","pancreatic carcinoma",97943,"East Asian"
"GCST90013747",32514122,"Cirrhosis","1,347 Japanese ancestry male cases, 108,000 Japanese ancestry male controls","cirrhosis of liver",109347,"East Asian"
"GCST90013771",32514122,"Biliary tract cancer","128 Japanese ancestry female cases, 98,090 Japanese ancestry female controls","biliary tract cancer",98218,"East Asian"
"GCST90013772",32514122,"Colorectal cancer","2,566 Japanese ancestry female cases, 98,090 Japanese ancestry female controls","colorectal cancer",100656,"East Asian"
"GCST90013773",32514122,"Esophageal cancer","168 Japanese ancestry female cases, 98,090 Japanese ancestry female controls","esophageal carcinoma",98258,"East Asian"
"GCST90013774",32514122,"Gastric cancer","1,678 Japanese ancestry female cases, 98,090 Japanese ancestry female controls","gastric carcinoma",99768,"East Asian"
"GCST90013775",32514122,"Hematological malignancy","535 Japanese ancestry female cases, 102,571 Japanese ancestry female controls","hematopoietic and lymphoid system neoplasm",103106,"East Asian"
"GCST90013776",32514122,"Hepatocellular carcinoma","482 Japanese ancestry female cases, 98,090 Japanese ancestry female controls","hepatocellular carcinoma",98572,"East Asian"
"GCST90013777",32514122,"Lung cancer","1,340 Japanese ancestry female cases, 101,766 Japanese ancestry female controls","lung carcinoma",103106,"East Asian"
"GCST90013778",32514122,"Pancreatic cancer","154 Japanese ancestry female cases, 98,090 Japanese ancestry female controls","pancreatic carcinoma",98244,"East Asian"
"GCST90013782",32514122,"Cirrhosis","837 Japanese ancestry female cases, 102,269 Japanese ancestry female controls","cirrhosis of liver",103106,"East Asian"
"GCST90013862",34017140,"Colorectal cancer (Firth correction)","407,746 British ancestry individuals","colorectal cancer",407746,"European"
"GCST90013863",34017140,"Thyroid cancer (Firth correction)","407,746 British ancestry individuals","thyroid carcinoma",407746,"European"
"GCST90013866",34017140,"Colorectal cancer (SPA correction)","407,746 British ancestry individuals","colorectal cancer",407746,"European"
"GCST90013867",34017140,"Thyroid cancer (SPA correction)","407,746 British ancestry individuals","thyroid carcinoma",407746,"European"
"GCST90014045",34002017,"Lung cancer prognosis in former smokers","1,299 European ancestry long-term former smokers","non-small cell lung carcinoma, disease prognosis measurement",1299,"European"
"GCST90018120",33197388,"Idiopathic pulmonary fibrosis","1,369 European ancestry cases, 435,866 European ancestry controls","idiopathic pulmonary fibrosis",451025,"European"
"GCST90018579",34594039,"Breast cancer","6,325 East Asian ancestry cases, 73,225 East Asian ancestry controls","breast carcinoma",79550,"East Asian"
"GCST90018580",34594039,"Brain tumor","405 East Asian ancestry cases, 178,321 East Asian ancestry controls","brain neoplasm",178726,"East Asian"
"GCST90018583",34594039,"Hepatic bile duct cancer","418 East Asian ancestry cases, 159,201 East Asian ancestry controls","cholangiocarcinoma",159619,"East Asian"
"GCST90018588",34594039,"Colorectal cancer","8,305 East Asian ancestry cases, 159,386 East Asian ancestry controls","colorectal cancer",167691,"East Asian"
"GCST90018597",34594039,"Cervical cancer","967 East Asian ancestry cases, 60,614 East Asian ancestry controls","cervical carcinoma",61581,"East Asian"
"GCST90018606",34594039,"Cirrhosis","2,551 East Asian ancestry cases, 176,175 East Asian ancestry controls","cirrhosis of liver",178726,"East Asian"
"GCST90018607",34594039,"Colon polyp","4,768 East Asian ancestry cases, 166,052 East Asian ancestry controls","polyp of colon",170820,"East Asian"
"GCST90018618",34594039,"Endometrial cancer","1,200 East Asian ancestry cases, 60,614 East Asian ancestry controls","endometrial carcinoma",61814,"East Asian"
"GCST90018621",34594039,"Esophageal cancer","1,388 East Asian ancestry cases, 159,201 East Asian ancestry controls","esophageal carcinoma",160589,"East Asian"
"GCST90018626",34594039,"Gallbladder polyp","843 East Asian ancestry cases, 167,459 East Asian ancestry controls","polyp of gallbladder",168302,"East Asian"
"GCST90018629",34594039,"Gastric cancer","7,921 East Asian ancestry cases, 159,201 East Asian ancestry controls","gastric carcinoma",167122,"East Asian"
"GCST90018630",34594039,"Gastric polyp","1,337 East Asian ancestry cases, 158,249 East Asian ancestry controls","stomach polyp",159586,"East Asian"
"GCST90018638",34594039,"Hepatic cancer","2,122 East Asian ancestry cases, 159,201 East Asian ancestry controls","liver neoplasm",161323,"East Asian"
"GCST90018655",34594039,"Lung cancer","4,444 East Asian ancestry cases, 174,282 East Asian ancestry controls","lung carcinoma",178726,"East Asian"
"GCST90018658",34594039,"Malignant lymphoma","335 East Asian ancestry cases, 177,342 East Asian ancestry controls","lymphoma",177677,"East Asian"
"GCST90018663",34594039,"Nasal polyps","160 East Asian ancestry cases, 151,846 East Asian ancestry controls","Nasal Cavity Polyp",152006,"East Asian"
"GCST90018668",34594039,"Ovarian cancer","843 East Asian ancestry cases, 60,614 East Asian ancestry controls","ovarian carcinoma",61457,"East Asian"
"GCST90018673",34594039,"Pancreatic cancer","499 East Asian ancestry cases, 159,201 East Asian ancestry controls","pancreatic carcinoma",159700,"East Asian"
"GCST90018678",34594039,"Pharyngeal and laryngeal cancer","300 East Asian ancestry cases, 178,426 East Asian ancestry controls","pharynx cancer, laryngeal carcinoma",178726,"East Asian"
"GCST90018685",34594039,"Prostate cancer","5,672 East Asian ancestry cases, 84,660 East Asian ancestry controls","prostate carcinoma",90332,"East Asian"
"GCST90018688",34594039,"Pulmonary fibrosis","126 East Asian ancestry cases, 176,974 East Asian ancestry controls","pulmonary fibrosis",177100,"East Asian"
"GCST90018701",34594039,"Skin cancer","154 East Asian ancestry cases, 178,572 East Asian ancestry controls","skin neoplasm",178726,"East Asian"
"GCST90018709",34594039,"Thyroid cancer","361 East Asian ancestry cases, 178,362 East Asian ancestry controls","thyroid carcinoma",178723,"East Asian"
"GCST90018714",34594039,"Uterine fibroids","14,475 East Asian ancestry cases, 65,733 East Asian ancestry controls","uterine fibroid",80208,"East Asian"
"GCST90018799",34594039,"Breast cancer","17,389 European ancestry cases, 240,341 European ancestry controls, 6,325 East Asian ancestry cases, 73,225 East Asian ancestry controls","breast carcinoma",257730,"European"
"GCST90018799",34594039,"Breast cancer","17,389 European ancestry cases, 240,341 European ancestry controls, 6,325 East Asian ancestry cases, 73,225 East Asian ancestry controls","breast carcinoma",79550,"East Asian"
"GCST90018800",34594039,"Brain tumor","833 European ancestry cases, 490,709 European ancestry controls, 405 East Asian ancestry cases, 178,321 East Asian ancestry controls","brain neoplasm",178726,"East Asian"
"GCST90018800",34594039,"Brain tumor","833 European ancestry cases, 490,709 European ancestry controls, 405 East Asian ancestry cases, 178,321 East Asian ancestry controls","brain neoplasm",491542,"European"
"GCST90018803",34594039,"Hepatic bile duct cancer","832 European ancestry cases, 475,259 European ancestry controls, 418 East Asian ancestry cases, 159,201 East Asian ancestry controls","cholangiocarcinoma",159619,"East Asian"
"GCST90018803",34594039,"Hepatic bile duct cancer","832 European ancestry cases, 475,259 European ancestry controls, 418 East Asian ancestry cases, 159,201 East Asian ancestry controls","cholangiocarcinoma",476091,"European"
"GCST90018808",34594039,"Colorectal cancer","6,581 European ancestry cases, 463,421 European ancestry controls, 8,305 East Asian ancestry cases, 159,386 East Asian ancestry controls","colorectal cancer",470002,"European"
"GCST90018808",34594039,"Colorectal cancer","6,581 European ancestry cases, 463,421 European ancestry controls, 8,305 East Asian ancestry cases, 159,386 East Asian ancestry controls","colorectal cancer",167691,"East Asian"
"GCST90018817",34594039,"Cervical cancer","909 European ancestry cases, 238,249 European ancestry controls, 967 East Asian ancestry cases, 60,614 East Asian ancestry controls","cervical carcinoma",239158,"European"
"GCST90018817",34594039,"Cervical cancer","909 European ancestry cases, 238,249 European ancestry controls, 967 East Asian ancestry cases, 60,614 East Asian ancestry controls","cervical carcinoma",61581,"East Asian"
"GCST90018826",34594039,"Cirrhosis","122 European ancestry cases, 347,284 European ancestry controls, 2,551 East Asian ancestry cases, 176,175 East Asian ancestry controls","cirrhosis of liver",178726,"East Asian"
"GCST90018826",34594039,"Cirrhosis","122 European ancestry cases, 347,284 European ancestry controls, 2,551 East Asian ancestry cases, 176,175 East Asian ancestry controls","cirrhosis of liver",347406,"European"
"GCST90018827",34594039,"Colon polyp","22,049 European ancestry cases, 332,368 European ancestry controls, 4,768 East Asian ancestry cases, 166,052 East Asian ancestry controls","polyp of colon",354417,"European"
"GCST90018827",34594039,"Colon polyp","22,049 European ancestry cases, 332,368 European ancestry controls, 4,768 East Asian ancestry cases, 166,052 East Asian ancestry controls","polyp of colon",170820,"East Asian"
"GCST90018838",34594039,"Endometrial cancer","2,188 European ancestry cases, 237,839 European ancestry controls, 1,200 East Asian ancestry cases, 60,614 East Asian ancestry controls","endometrial carcinoma",240027,"European"
"GCST90018838",34594039,"Endometrial cancer","2,188 European ancestry cases, 237,839 European ancestry controls, 1,200 East Asian ancestry cases, 60,614 East Asian ancestry controls","endometrial carcinoma",61814,"East Asian"
"GCST90018841",34594039,"Esophageal cancer","998 European ancestry cases, 475,308 European ancestry controls, 1,388 East Asian ancestry cases, 159,201 East Asian ancestry controls","esophageal carcinoma",160589,"East Asian"
"GCST90018841",34594039,"Esophageal cancer","998 European ancestry cases, 475,308 European ancestry controls, 1,388 East Asian ancestry cases, 159,201 East Asian ancestry controls","esophageal carcinoma",476306,"European"
"GCST90018846",34594039,"Gallbladder polyp","458 European ancestry cases, 340,083 European ancestry controls, 843 East Asian ancestry cases, 167,459 East Asian ancestry controls","polyp of gallbladder",168302,"East Asian"
"GCST90018846",34594039,"Gallbladder polyp","458 European ancestry cases, 340,083 European ancestry controls, 843 East Asian ancestry cases, 167,459 East Asian ancestry controls","polyp of gallbladder",340541,"European"
"GCST90018849",34594039,"Gastric cancer","1,029 European ancestry cases, 475,087 European ancestry controls, 7,921 East Asian ancestry cases, 159,201 East Asian ancestry controls","gastric carcinoma",167122,"East Asian"
"GCST90018849",34594039,"Gastric cancer","1,029 European ancestry cases, 475,087 European ancestry controls, 7,921 East Asian ancestry cases, 159,201 East Asian ancestry controls","gastric carcinoma",476116,"European"
"GCST90018850",34594039,"Gastric polyp","6,155 European ancestry cases, 341,871 European ancestry controls, 1,337 East Asian ancestry cases, 158,249 East Asian ancestry controls","stomach polyp",348026,"European"
"GCST90018850",34594039,"Gastric polyp","6,155 European ancestry cases, 341,871 European ancestry controls, 1,337 East Asian ancestry cases, 158,249 East Asian ancestry controls","stomach polyp",159586,"East Asian"
"GCST90018858",34594039,"Hepatic cancer","379 European ancestry cases, 475,259 European ancestry controls, 2,122 East Asian ancestry cases, 159,201 East Asian ancestry controls","liver neoplasm",475638,"European"
"GCST90018858",34594039,"Hepatic cancer","379 European ancestry cases, 475,259 European ancestry controls, 2,122 East Asian ancestry cases, 159,201 East Asian ancestry controls","liver neoplasm",161323,"East Asian"
"GCST90018875",34594039,"Lung cancer","3,791 European ancestry cases, 489,012 European ancestry controls, 4,444 East Asian ancestry cases, 174,282 East Asian ancestry controls","lung carcinoma",492803,"European"
"GCST90018875",34594039,"Lung cancer","3,791 European ancestry cases, 489,012 European ancestry controls, 4,444 East Asian ancestry cases, 174,282 East Asian ancestry controls","lung carcinoma",178726,"East Asian"
"GCST90018878",34594039,"Malignant lymphoma","3,546 European ancestry cases, 487,257 European ancestry controls, 335 East Asian ancestry cases, 177,342 East Asian ancestry controls","lymphoma",177677,"East Asian"
"GCST90018878",34594039,"Malignant lymphoma","3,546 European ancestry cases, 487,257 European ancestry controls, 335 East Asian ancestry cases, 177,342 East Asian ancestry controls","lymphoma",490803,"European"
"GCST90018883",34594039,"Nasal polyps","5,093 European ancestry cases, 444,966 European ancestry controls, 160 East Asian ancestry cases, 151,846 East Asian ancestry controls","Nasal Cavity Polyp",450059,"European"
"GCST90018883",34594039,"Nasal polyps","5,093 European ancestry cases, 444,966 European ancestry controls, 160 East Asian ancestry cases, 151,846 East Asian ancestry controls","Nasal Cavity Polyp",152006,"East Asian"
